Year,Make,Model,Price,Miles,Age,Norm_Price,Norm_Miles,Norm_Age,Composite_Score,Rank
2021,Mitsubishi,Outlander Sport ES 2.0 FWD CVT,15920,39000,3,0.659639259779808,0.6100305015250762,0.25,0.6037927063254077,197.0
2022,Hyundai,Accent SE,17998,28000,2,0.5622862497071914,0.72003600180009,0.5,0.6033825503643419,198.0
2023,Nissan,Kicks SV,20600,12000,1,0.440384164909815,0.88004400220011,0.75,0.6032436996059221,199.0
2023,Hyundai,Elantra SEL IVT,18800,29000,1,0.52471304755212,0.7100355017750888,0.75,0.6028384790637986,200.0
2023,Kia,Forte LXS IVT,19998,18000,1,0.4685874912157415,0.8200410020501026,0.75,0.6021647953444755,201.0
2021,Hyundai,Elantra SEL IVT,18220,18000,3,0.5518856875146405,0.8200410020501026,0.25,0.6021437131238151,202.0
2022,Chevrolet,Equinox LT with 1LT FWD,18899,20000,2,0.5200749590067932,0.8000400020001001,0.5,0.602056976004106,203.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,13599,53000,4,0.7683766690091356,0.47002350117505876,0.0,0.6020330517579989,204.0
2020,Nissan,Sentra SV CVT,16488,26000,4,0.6330288123682362,0.7400370018500925,0.0,0.6018283879759694,205.0
2023,Hyundai,Elantra SEL IVT,21400,5000,1,0.402904661513235,0.9500475023751187,0.75,0.6017570476204765,206.0
2023,Mitsubishi,Outlander Sport LE 2.0 AWC,19800,20000,1,0.47786366830639504,0.8000400020001001,0.75,0.601730201583867,207.0
2020,Hyundai,Elantra SE 2.0L IVT,15958,31000,4,0.6578589833684703,0.6900345017250862,0.0,0.601725740538608,208.0
2023,Nissan,Sentra SR,19588,22000,1,0.4877957367064887,0.7800390019500976,0.75,0.6016891426089224,209.0
2020,Kia,Soul S IVT,17998,12000,4,0.5622862497071914,0.88004400220011,0.0,0.6013849504843478,210.5
2020,Kia,Soul S IVT,17998,12000,4,0.5622862497071914,0.88004400220011,0.0,0.6013849504843478,210.5
2021,Nissan,Versa SV CVT,18998,11000,3,0.5154368704614665,0.8900445022251112,0.25,0.6012754729444133,212.0
2023,Nissan,Kicks SV,20900,10000,1,0.4263293511360975,0.9000450022501125,0.75,0.6008111113566923,213.0
2021,Kia,Soul LX IVT,15822,41000,3,0.6642304989458889,0.5900295014750737,0.25,0.6005471498100554,214.0
2023,Hyundai,Kona SEL AWD Automatic,21444,5000,1,0.40084328882642306,0.9500475023751187,0.75,0.6005202240083893,215.0
2022,Chevrolet,Spark 1LT CVT,16619,42000,2,0.6268915436870461,0.5800290014500724,0.5,0.6001436266472494,216.0
2021,Mazda,Mazda3 2.5 S 4-Door FWD,17438,26000,3,0.5885219020847974,0.7400370018500925,0.25,0.6001242418059062,217.0
