Year,Make,Model,Price,Miles,Rating,Source
2021,Tesla,Model 3,34400.0,"15,435",N/A,Source.TESLA
2021,Tesla,Model 3,34600.0,"33,037",N/A,Source.TESLA
2023,Tesla,Model 3,34700.0,"2,463",N/A,Source.TESLA
2022,Tesla,Model 3,34700.0,"27,099",N/A,Source.TESLA
2022,Tesla,Model 3,34700.0,"17,781",N/A,Source.TESLA
2023,Tesla,Model 3,34800.0,"2,595",N/A,Source.TESLA
2021,Tesla,Model 3,35000.0,"25,859",N/A,Source.TESLA
2022,Tesla,Model 3,35000.0,"21,554",N/A,Source.TESLA
2021,Tesla,Model 3,35100.0,"11,034",N/A,Source.TESLA
2022,Tesla,Model 3,35200.0,"15,542",N/A,Source.TESLA
2023,Tesla,Model 3,35300.0,"3,747",N/A,Source.TESLA
2021,Tesla,Model 3,35400.0,"28,647",N/A,Source.TESLA
2021,Tesla,Model 3,35500.0,"25,105",N/A,Source.TESLA
2021,Tesla,Model 3,35600.0,"18,019",N/A,Source.TESLA
2022,Tesla,Model 3,35700.0,"21,412",N/A,Source.TESLA
2022,Tesla,Model 3,37100.0,"17,492",N/A,Source.TESLA
2022,Tesla,Model 3,37200.0,"20,055",N/A,Source.TESLA
2022,Tesla,Model 3,37200.0,"16,741",N/A,Source.TESLA
2022,Tesla,Model 3,37300.0,"11,055",N/A,Source.TESLA
2021,Tesla,Model 3,37400.0,"13,311",N/A,Source.TESLA
2023,Tesla,Model 3,37400.0,"3,817",N/A,Source.TESLA
2022,Tesla,Model 3,37500.0,"16,909",N/A,Source.TESLA
2022,Tesla,Model 3,37500.0,"11,440",N/A,Source.TESLA
2022,Tesla,Model 3,37600.0,"17,366",N/A,Source.TESLA
2023,Tesla,Model 3,37800.0,"6,873",N/A,Source.TESLA
2022,Tesla,Model 3,37900.0,"17,952",N/A,Source.TESLA
2022,Tesla,Model 3,38100.0,"16,737",N/A,Source.TESLA
2022,Tesla,Model 3,38100.0,"8,174",N/A,Source.TESLA
2022,Tesla,Model 3,38400.0,"5,545",N/A,Source.TESLA
2021,Tesla,Model 3,38500.0,"13,144",N/A,Source.TESLA
2022,Tesla,Model 3,38600.0,"12,745",N/A,Source.TESLA
2022,Tesla,Model 3,39000.0,"22,922",N/A,Source.TESLA
2022,Tesla,Model 3,39100.0,"16,541",N/A,Source.TESLA
2023,Tesla,Model 3,39900.0,"13,881",N/A,Source.TESLA
2023,Tesla,Model 3,40100.0,"3,825",N/A,Source.TESLA
2023,Tesla,Model 3,40300.0,"15,589",N/A,Source.TESLA
2022,Tesla,Model 3,40400.0,"13,626",N/A,Source.TESLA
2022,Tesla,Model 3,40700.0,"14,419",N/A,Source.TESLA
2023,Tesla,Model 3,40800.0,"10,275",N/A,Source.TESLA
2023,Tesla,Model 3,40900.0,"7,246",N/A,Source.TESLA
2023,Tesla,Model 3,41300.0,"4,527",N/A,Source.TESLA
2023,Tesla,Model 3,41400.0,"9,830",N/A,Source.TESLA
2022,Tesla,Model 3,41600.0,"7,434",N/A,Source.TESLA
2023,Tesla,Model 3,42300.0,"4,868",N/A,Source.TESLA
2023,Tesla,Model 3,42700.0,"1,267",N/A,Source.TESLA
2024,Tesla,Model 3,43300.0,808,N/A,Source.TESLA
2023,Tesla,Model 3,44400.0,"13,444",N/A,Source.TESLA
2023,Tesla,Model 3,44600.0,"9,963",N/A,Source.TESLA
2023,Tesla,Model 3,45500.0,"6,182",N/A,Source.TESLA
2023,Tesla,Model 3,45900.0,"3,835",N/A,Source.TESLA
2024,Tesla,Model 3,46500.0,"1,249",N/A,Source.TESLA
2024,Tesla,Model 3,47900.0,954,N/A,Source.TESLA
2024,Tesla,Model 3,48000.0,"2,316",N/A,Source.TESLA
