Year,Make,Model,Price,Miles,Rating,Source
2021,Jeep,Grand Cherokee,32590.0,36655,80th Edition Sport Utility 4D,Source.CARVANA
2020,Lincoln,Corsair,31590.0,15719,Reserve Sport Utility 4D,Source.CARVANA
2013,Mercedes-Benz,GLK-Class,18590.0,57905,GLK 350 Sport Utility 4D,Source.CARVANA
2023,MAZDA,CX-50,29990.0,19316,Preferred Plus Sport Utility 4D,Source.CARVANA
2019,Mercedes-Benz,C-Class,25990.0,49196,C 300 Sedan 4D,Source.CARVANA
2020,Lexus,RX,32590.0,66042,RX 350 F SPORT SUV 4D,Source.CARVANA
2021,Land Rover,Defender 110,49590.0,56949,SE Sport Utility 4D,Source.CARVANA
2016,Scion,tC,16990.0,77542,Hatchback Coupe 2D,Source.CARVANA
2024,Lexus,LC,99990.0,951,LC 500 Convertible 2D,Source.CARVANA
2011,Ford,Ranger Super Cab,25990.0,16688,XLT Pickup 4D 6 ft,Source.CARVANA
2021,Jeep,Gladiator,42590.0,26495,Mojave Pickup 4D 5 ft,Source.CARVANA
2017,GMC,Sierra 1500 Double Cab,29590.0,69812,SLE Pickup 4D 6 1/2 ft,Source.CARVANA
2017,GMC,Yukon,32990.0,74780,Denali Sport Utility 4D,Source.CARVANA
2018,BMW,X2,24590.0,32109,sDrive28i Sport Utility 4D,Source.CARVANA
2018,Volkswagen,e-Golf,21990.0,19572,SEL Premium Hatchback Sedan 4D,Source.CARVANA
2016,Land Rover,Range Rover,31990.0,58053,HSE Sport Utility 4D,Source.CARVANA
2019,Volkswagen,Golf Alltrack,24990.0,43022,TSI S Wagon 4D,Source.CARVANA
2021,MINI,Hardtop 4 Door,25990.0,14496,Cooper S Hatchback 4D,Source.CARVANA
2019,Volvo,S60,28590.0,24573,T6 Inscription Sedan 4D,Source.CARVANA
2017,Chevrolet,Camaro,23590.0,50805,LT Coupe 2D,Source.CARVANA
2016,Toyota,Tacoma Double Cab,29990.0,25771,SR5 Pickup 4D 5 ft,Source.CARVANA
2021,Jeep,Gladiator,39990.0,41383,Mojave Pickup 4D 5 ft,Source.CARVANA
2023,BMW,4 Series,54590.0,4038,M440i Gran Coupe Sedan 4D,Source.CARVANA
2020,Honda,Civic,27990.0,23549,Si Sedan 4D,Source.CARVANA
2012,Audi,Q5,15590.0,79956,2.0T Quattro Premium Sport Utility 4D,Source.CARVANA
2020,Lincoln,Corsair,27990.0,52184,Reserve Sport Utility 4D,Source.CARVANA
2014,Lexus,IS,23590.0,39642,IS 250 Sedan 4D,Source.CARVANA
2018,Volvo,V90,28590.0,56058,T5 Cross Country Wagon 4D,Source.CARVANA
2014,INFINITI,Q50,18990.0,66459,3.7 Premium Sedan 4D,Source.CARVANA
2014,Volkswagen,GTI,16590.0,71814,Driver's Edition Hatchback Sedan 4D,Source.CARVANA
2023,Kia,Sorento,34990.0,25763,X-Line EX Sport Utility 4D,Source.CARVANA
2014,Chevrolet,Corvette,43590.0,31716,Stingray Z51 Coupe 2D,Source.CARVANA
2014,Cadillac,CTS,40990.0,47085,CTS-V Coupe 2D,Source.CARVANA
2018,BMW,3 Series,21590.0,45724,320i Sedan 4D,Source.CARVANA
2020,Land Rover,Discovery Sport,29990.0,33572,SE R-Dynamic Sport Utility 4D,Source.CARVANA
2023,MAZDA,MAZDA3,27990.0,20626,Premium Hatchback 4D,Source.CARVANA
2022,Mercedes-Benz,GLB,34990.0,11697,GLB 250 Sport Utility 4D,Source.CARVANA
2024,MINI,Countryman,36990.0,4249,Cooper S Hatchback 4D,Source.CARVANA
2012,Acura,TSX,15990.0,76350,Sedan 4D,Source.CARVANA
2016,Mercedes-Benz,E-Class,26590.0,27829,E 350 4MATIC Sedan 4D,Source.CARVANA
2021,Tesla,Model S,54990.0,37735,Long Range Sedan 4D,Source.CARVANA
2019,Mercedes-Benz,C-Class,24990.0,51233,C 300 Sedan 4D,Source.CARVANA
2022,Subaru,BRZ,29590.0,17784,Limited Coupe 2D,Source.CARVANA
2022,Audi,Q3,31990.0,21455,45 TFSI S line Premium Plus Sport Utility 4D,Source.CARVANA
2021,Honda,Civic,25990.0,48843,Sport Hatchback 4D,Source.CARVANA
2018,BMW,M3,51590.0,38756,Sedan 4D,Source.CARVANA
2023,Alfa Romeo,Stelvio,34590.0,19436,Sprint Sport Utility 4D,Source.CARVANA
2023,Kia,K5,31990.0,29468,GT Sedan 4D,Source.CARVANA
2017,Mercedes-Benz,C-Class,22990.0,44343,C 300 Sedan 4D,Source.CARVANA
2022,GMC,Canyon Crew Cab,33590.0,34730,Elevation Pickup 4D 5 ft,Source.CARVANA
2023,BMW,2 Series,36990.0,12965,230i Coupe 2D,Source.CARVANA
2023,Subaru,Crosstrek,29590.0,9543,Sport SUV 4D,Source.CARVANA
2020,Volvo,V90,39590.0,24628,T6 Cross Country Wagon 4D,Source.CARVANA
2018,Volkswagen,e-Golf,19590.0,27674,SEL Premium Hatchback Sedan 4D,Source.CARVANA
2014,Jeep,Cherokee,15990.0,102924,TrailHawk Sport Utility 4D,Source.CARVANA
2019,Toyota,Camry,26590.0,55681,XSE Sedan 4D,Source.CARVANA
2019,Audi,e-tron,28590.0,70088,Prestige Sport Utility 4D,Source.CARVANA
2021,Land Rover,Range Rover Velar,40590.0,36694,R-Dynamic S P250 Sport Utility 4D,Source.CARVANA
2018,MINI,Countryman,22990.0,34062,Cooper S ALL4 Hatchback 4D,Source.CARVANA
2019,Toyota,Tacoma Double Cab,30590.0,23051,SR5 Pickup 4D 5 ft,Source.CARVANA
2018,Audi,A5,25990.0,43400,Premium Plus Sedan 4D,Source.CARVANA
2015,BMW,7 Series,27990.0,49938,750Li Sedan 4D,Source.CARVANA
2017,Audi,A4 allroad,24990.0,63858,Premium Plus Wagon 4D,Source.CARVANA
2013,Chevrolet,Camaro,24990.0,47714,SS Coupe 2D,Source.CARVANA
2022,Nissan,Frontier King Cab,27990.0,10520,S Pickup 2D 6 ft,Source.CARVANA
2014,Nissan,JUKE,16590.0,38214,SV Sport Utility 4D,Source.CARVANA
2023,Kia,Sportage Hybrid,28990.0,21116,LX Sport Utility 4D,Source.CARVANA
2018,Audi,A3,23990.0,38801,Premium Plus Sedan 4D,Source.CARVANA
2021,Mercedes-Benz,Mercedes-AMG GLC,55590.0,10497,GLC 43 4MATIC Sport Utility 4D,Source.CARVANA
2022,Toyota,Tacoma Double Cab,31590.0,23435,SR Pickup 4D 5 ft,Source.CARVANA
2018,Mercedes-Benz,Mercedes-AMG E-Class,37590.0,41411,E 43 AMG Sedan 4D,Source.CARVANA
2018,Land Rover,Range Rover Velar,29990.0,68820,S Sport Utility 4D,Source.CARVANA
2017,Ford,F150 Super Cab,43990.0,58622,Raptor Pickup 4D 5 1/2 ft,Source.CARVANA
2017,Jeep,Grand Cherokee,26990.0,44916,Overland Sport Utility 4D,Source.CARVANA
2017,smart,fortwo electric drive,13590.0,8483,Pure Hatchback Coupe 2D,Source.CARVANA
2020,Jaguar,E-PACE,27590.0,29846,P250 Sport Utility 4D,Source.CARVANA
2018,Jaguar,E-PACE,24590.0,43755,P250 S Sport Utility 4D,Source.CARVANA
2021,Audi,A4,32590.0,26039,S line 45 TFSI Premium Plus Sedan 4D,Source.CARVANA
2018,Honda,Fit,18590.0,54884,Sport Hatchback 4D,Source.CARVANA
2023,Lexus,RZ,40590.0,17222,450e Premium Sport Utility 4D,Source.CARVANA
2018,Nissan,Frontier King Cab,22990.0,24278,S Pickup 2D 6 ft,Source.CARVANA
2021,Ford,Mustang,32990.0,44885,GT Coupe 2D,Source.CARVANA
2019,Land Rover,Discovery,24990.0,71000,SE Sport Utility 4D,Source.CARVANA
2021,Audi,Q7,39990.0,27982,45 TFSI Premium Plus Sport Utility 4D,Source.CARVANA
2021,MAZDA,CX-30,25990.0,11076,Premium Sport Utility 4D,Source.CARVANA
2022,Nissan,Pathfinder,33590.0,17734,SV Sport Utility 4D,Source.CARVANA
2012,Mercedes-Benz,E-Class,17590.0,52731,E 350 Sedan 4D,Source.CARVANA
2017,Volkswagen,Golf Alltrack,21990.0,49311,TSI SE Wagon 4D,Source.CARVANA
2020,Ford,Mustang,33590.0,19647,GT Coupe 2D,Source.CARVANA
2020,Hyundai,Elantra,17990.0,40333,SEL Sedan 4D,Source.CARVANA
2023,Rivian,R1T,67990.0,9455,Adventure Pickup 4D 4 1/2 ft,Source.CARVANA
2013,Honda,Ridgeline,20590.0,90880,Sport Pickup 4D 5 ft,Source.CARVANA
2012,Hyundai,Genesis,14990.0,78497,3.8 Sedan 4D,Source.CARVANA
2015,Chevrolet,Camaro,20990.0,67036,LT Coupe 2D,Source.CARVANA
2022,Polestar,2,32590.0,19535,Long Range Dual Motor Hatchback 4D,Source.CARVANA
2017,Chevrolet,Corvette,52590.0,23701,Grand Sport Coupe 2D,Source.CARVANA
2021,Nissan,Frontier Crew Cab,27990.0,23552,SV Pickup 4D 5 ft,Source.CARVANA
2019,Volkswagen,Golf Alltrack,24590.0,39746,TSI SE Wagon 4D,Source.CARVANA
2013,Ford,F150 SuperCrew Cab,39590.0,72095,SVT Raptor Pickup 4D 5 1/2 ft,Source.CARVANA
2013,MINI,Hardtop,16590.0,92432,John Cooper Works Hatchback 2D,Source.CARVANA
2020,Mercedes-Benz,Mercedes-AMG E-Class,51990.0,32098,E 53 AMG Coupe 2D,Source.CARVANA
2016,MINI,Countryman,21590.0,27378,Cooper S ALL4 Hatchback 4D,Source.CARVANA
2017,Volkswagen,Golf,18590.0,41160,TSI Wolfsburg Edition Hatchback Sedan 4D,Source.CARVANA
2014,MINI,Countryman,19590.0,34926,Cooper S ALL4 Hatchback 4D,Source.CARVANA
