Year,Make,Model,Price,Miles,Rating,Source
2021,Cadillac,XT4 Premium Luxury AWD,28817,18000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Tucson SEL FWD,23890,29000,Great Price,Source.CAR_AND_DRIVER
2021,Ford,Explorer XLT RWD,26998,56000,Great Price,Source.CAR_AND_DRIVER
2023,Hyundai,Elantra Limited IVT,21228,20000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,HR-V Sport AWD,21056,31000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Silverado 1500 WT Regular Cab Long Bed 2WD,29800,14000,Excellent Price,Source.CAR_AND_DRIVER
2022,Buick,Encore GX Select FWD,19700,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,18660,36000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,16500,66000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.5 SV FWD,20943,29000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volvo,XC40 T5 R-Design AWD,29102,40000,Great Price,Source.CAR_AND_DRIVER
2022,Kia,Soul Turbo DCT,21998,32000,Excellent Price,Source.CAR_AND_DRIVER
2020,Ford,Edge Titanium FWD,18981,66000,Excellent Price,Source.CAR_AND_DRIVER
2022,Jeep,Compass Latitude FWD,19473,41000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,17000,59000,Excellent Price,Source.CAR_AND_DRIVER
2020,GMC,Acadia SLT FWD,25700,31000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,RAV4 Hybrid XLE AWD,26996,31000,Excellent Price,Source.CAR_AND_DRIVER
2022,Nissan,Altima 2.5 S FWD,18900,49000,Excellent Price,Source.CAR_AND_DRIVER
2022,Ford,Explorer XLT RWD,25998,52000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Equinox LT with 1LT FWD,17999,11000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Blazer 2LT FWD,28998,12000,Excellent Price,Source.CAR_AND_DRIVER
2020,Honda,CR-V EX-L AWD,25000,28000,Excellent Price,Source.CAR_AND_DRIVER
2021,Kia,Forte LXS IVT,15000,61000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Rogue Sport S AWD,17988,60000,Excellent Price,Source.CAR_AND_DRIVER
2022,Kia,Sportage LX FWD,17000,52000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Rogue 2023.5 SV AWD,22784,25000,Excellent Price,Source.CAR_AND_DRIVER
2022,Dodge,Charger SXT RWD,22685,29000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volkswagen,Tiguan 2.0T SE FWD,20063,40000,Excellent Price,Source.CAR_AND_DRIVER
2020,Buick,Encore Preferred FWD,15999,46000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Trailblazer RS FWD,22648,21000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mercedes-Benz,C-Class C 300 Sedan RWD,29488,19000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chrysler,300 S RWD,24795,21000,Excellent Price,Source.CAR_AND_DRIVER
2022,Hyundai,Kona SEL AWD Automatic,19998,43000,Great Price,Source.CAR_AND_DRIVER
2021,Nissan,Murano SV FWD,15979,90000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Tucson SEL AWD,22000,49000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Equinox LT with 1LT AWD,19988,36000,Excellent Price,Source.CAR_AND_DRIVER
2020,Ford,F-150 XL SuperCrew 5.5' Box 4WD,27600,95000,Excellent Price,Source.CAR_AND_DRIVER
2020,Toyota,Corolla LE CVT,15992,73000,Excellent Price,Source.CAR_AND_DRIVER
2022,Mitsubishi,Outlander Plug-In Hybrid SEL S-AWC,21000,64000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,CR-V EX-L AWD,25289,54000,Excellent Price,Source.CAR_AND_DRIVER
2020,Nissan,Altima 2.5 SL AWD,22998,40000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ram,"1500 Classic Warlock Quad Cab 6'4"" Box 2WD",21979,90000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Sonata Hybrid SEL,24899,21,Excellent Price,Source.CAR_AND_DRIVER
2022,Honda,Civic Si Manual,26889,28000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,RAV4 XLE FWD,23988,56000,Great Price,Source.CAR_AND_DRIVER
2021,Nissan,Kicks S,15795,62000,Great Price,Source.CAR_AND_DRIVER
2020,Chevrolet,Equinox LT with 2FL AWD,18500,55000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-30 Select AWD,18373,61000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Corolla LE CVT,20891,7000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-5 Grand Touring AWD,24252,34000,Great Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-5 Touring AWD,22581,38000,Great Price,Source.CAR_AND_DRIVER
2021,Volkswagen,Atlas 2021.5 3.6L V6 SEL Premium R-Line 4MOTION,29950,86000,Great Price,Source.CAR_AND_DRIVER
2020,Audi,Q5 Premium Plus,22741,65000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Santa Fe SEL FWD,19835,55000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Sonata SEL 2.5L,21749,27000,Great Price,Source.CAR_AND_DRIVER
2020,Chrysler,Voyager LXI FWD,17497,93000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volkswagen,Passat 2.0T SE,19361,51000,Excellent Price,Source.CAR_AND_DRIVER
